text,label
"Wie spät ist es?",question
"Wer ist der aktuelle Bundespräsident?",question
"Was ist die Hauptstadt von Australien?",question
"Erzähl mir etwas über die Geschichte der Raumfahrt.",question
"Wie funktioniert Photosynthese?",question
"Was sind die Symptome einer Grippe?",question
"Wer hat die Relativitätstheorie entwickelt?",question
"Kannst du mir die Funktionsweise eines Kühlschranks erklären?",question
"Was bedeutet 'Demokratie'?",question
"Wie hoch ist der Mount Everest?",question
"Was ist der Unterschied zwischen Wetter und Klima?",question
"Wie viele Kontinente gibt es?",question
"Wer schrieb 'Faust'?",question
"Wie wird Strom erzeugt?",question
"Was ist künstliche Intelligenz?",question
"Nenne mir die größten Städte Deutschlands.",question
"Was ist ein Schwarzes Loch?",question
"Wie funktioniert ein Computer?",question
"Wer erfand die Glühbirne?",question
"Was ist die DNA?",question
"Wie lange dauert ein Flug nach New York?",question
"Was sind die aktuellen Nachrichten?",question
"Wer ist der amtierende Fußball-Weltmeister?",question
"Wie viele Knochen hat der menschliche Körper?",question
"Was ist die Schwerkraft?",question
"Erkläre mir das Konzept der Blockchain.",question
"Was ist der pH-Wert?",question
"Wie entsteht ein Regenbogen?",question
"Wer war Leonardo da Vinci?",question
"Was ist die Ozonschicht?",question
"Wie funktioniert ein Motorrad?",question
"Was ist die Photosynthese bei Pflanzen?",question
"Wer ist der Regisseur von 'Inception'?",question
"Was ist der Sinn des Lebens?",question
"Wie kann ich meine Steuererklärung machen?",question
"Was sind die größten Meere der Welt?",question
"Wer komponierte die 'Neunte Symphonie'?",question
"Was ist ein Algorithmus?",question
"Wie hoch ist der Eiffelturm?",question
"Was ist die Bedeutung von 'Nachhaltigkeit'?",question
"Wer hat den Buchdruck erfunden?",question
"Was ist die Definition von 'Gravitation'?",question
"Wie viele Sterne gibt es im Universum?",question
"Was ist die schnellste Tierart?",question
"Wer war Albert Einstein?",question
"Was ist eine Aktie?",question
"Wie entsteht Wind?",question
"Was ist der Treibhauseffekt?",question
"Wer schrieb 'Romeo und Julia'?",question
"Wie funktioniert ein Smartphone?",question
"Fasse den Artikel über erneuerbare Energien zusammen.",summary_request
"Gib mir eine Zusammenfassung des Berichts vom letzten Quartal.",summary_request
"Kannst du die wichtigsten Punkte des Vortrags zusammenfassen?",summary_request
"Bitte fass den Inhalt dieser E-Mail kurz und bündig zusammen.",summary_request
"Mach eine kurze Zusammenfassung des Buches '1984'.",summary_request
"Zusammenfassung des heutigen Nachrichtenüberblicks bitte.",summary_request
"Fasse die Highlights des Fußballspiels zusammen.",summary_request
"Kannst du mir die Kernaussagen des Protokolls zusammenfassen?",summary_request
"Bitte gib mir eine Zusammenfassung der Debatte.",summary_request
"Fasse diesen langen Text für mich zusammen.",summary_request
"Kannst du mir das Wichtigste aus dem Dokument extrahieren?",summary_request
"Mach eine Kurzzusammenfassung der Ereignisse.",summary_request
